protein_id,mbl_avg,mbl_max,mbl_min,sim_lin_avg,sim_lin_max,sim_lin_min,sim_resnik_avg,sim_resnik_max,sim_resnik_min,sim_schlicker_avg,sim_schlicker_max,sim_schlicker_min,sim_wang_avg,sim_wang_max,sim_wang_min
EIF3G_HUMAN,3.75,5.0,2.0,0.00042853836101240585,0.006428075415186088,0.0,0.0006572244642837987,0.00985836696425698,0.0,4.203932419496327e-06,6.305898629244491e-05,0.0,0.08856026333284689,0.5901639344262295,0.0
ERN1_HUMAN,10.205405405405406,23.0,1.0,0.037116262505784,0.8158244423597342,0.0,0.20342802684603895,4.816192376769957,0.0,0.02587344024072207,0.8092182541923334,0.0,0.06191522716654833,0.8431955843876566,0.0
DGAT1_HUMAN,6.25,14.0,1.0,0.13420071907078318,0.9446013713142379,0.0,0.7854903901347757,6.661854740545311,0.0,0.12290301637206338,0.9429102691149541,0.0,0.12238769379411067,0.8145400593471811,0.0
UBP2_HUMAN,10.5625,20.0,3.0,0.03849528064273702,0.8615491895686765,0.0,0.18234664712133772,4.390845898107963,0.0,0.02712031220974762,0.850874384975972,0.0,0.055866180773293334,0.6015996151301942,0.0
OFD1_HUMAN,4.363636363636363,6.0,2.0,0.03685832572270837,0.8564556916923871,0.0,0.13253642366224563,2.967964984859361,0.0,0.031608418962964624,0.8124271719572221,0.0,0.13957790770670944,0.6612466124661246,0.0
TM1L1_HUMAN,6.6,13.0,2.0,0.034789385126900295,0.5998961497696678,0.0,0.18221345353922003,3.9672275597752416,0.0,0.022420102206347665,0.5885426165003697,0.0,0.09165867004379208,0.686848108400317,0.0
UDB17_HUMAN,3.0,5.0,1.0,0.1149801403787507,0.8368990662174465,0.0,0.4900253149841793,4.294731126413694,0.0,0.09380656570747871,0.8254835631829375,0.0,0.14740721621173447,0.6897407611693325,0.0
CP7B1_HUMAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIAS1_HUMAN,10.307692307692308,20.0,1.0,0.02602734666068783,0.9321930276590934,0.0,0.165065563908538,6.143990531208238,0.0,0.0221749098926115,0.9301922231119226,0.0,0.05074333581048975,0.8311723392760672,0.0
DXO_HUMAN,4.142857142857143,6.0,2.0,0.02991337025473119,0.4048356115778908,0.0,0.18448002685918347,2.70805020110221,0.0,0.025218458862069342,0.3778465708060314,0.0,0.18528356511680483,0.5901639344262295,0.0
ZO3_HUMAN,5.0,9.0,2.0,0.07369249158123121,0.6976547275682423,0.002372875133674415,0.34358976625571025,3.34717235987879,0.00985836696425698,0.06734938905352214,0.6731086526370577,2.3277745026849005e-05,0.3722636073261032,0.5901639344262295,0.16026463450450593
